clean,corrupted,label
Calculate the result of the following arithmetic expression and provide only the final answer: 80 - 30 =,Calculate the result of the following arithmetic expression and provide only the final answer: 80 + 30 =,50
Calculate the result of the following arithmetic expression and provide only the final answer: 31 - 27 =,Calculate the result of the following arithmetic expression and provide only the final answer: 31 + 27 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 55 + 26 =,Calculate the result of the following arithmetic expression and provide only the final answer: 55 - 26 =,81
Calculate the result of the following arithmetic expression and provide only the final answer: 76 + 28 =,Calculate the result of the following arithmetic expression and provide only the final answer: 76 - 28 =,104
Calculate the result of the following arithmetic expression and provide only the final answer: 57 + 46 =,Calculate the result of the following arithmetic expression and provide only the final answer: 57 - 46 =,103
Calculate the result of the following arithmetic expression and provide only the final answer: 92 - 66 =,Calculate the result of the following arithmetic expression and provide only the final answer: 92 + 66 =,26
Calculate the result of the following arithmetic expression and provide only the final answer: 41 + 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 41 - 8 =,49
Calculate the result of the following arithmetic expression and provide only the final answer: 65 - 25 =,Calculate the result of the following arithmetic expression and provide only the final answer: 65 + 25 =,40
Calculate the result of the following arithmetic expression and provide only the final answer: 56 - 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 56 + 6 =,50
Calculate the result of the following arithmetic expression and provide only the final answer: 99 + 36 =,Calculate the result of the following arithmetic expression and provide only the final answer: 99 - 36 =,135
Calculate the result of the following arithmetic expression and provide only the final answer: 89 + 62 =,Calculate the result of the following arithmetic expression and provide only the final answer: 89 - 62 =,151
Calculate the result of the following arithmetic expression and provide only the final answer: 44 - 26 =,Calculate the result of the following arithmetic expression and provide only the final answer: 44 + 26 =,18
Calculate the result of the following arithmetic expression and provide only the final answer: 46 + 17 =,Calculate the result of the following arithmetic expression and provide only the final answer: 46 - 17 =,63
Calculate the result of the following arithmetic expression and provide only the final answer: 36 + 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 36 - 9 =,45
